;GSM237280.CEL;GSM237281.CEL;GSM237282.CEL;GSM237283.CEL;GSM237292.CEL;GSM237293.CEL;GSM237294.CEL;GSM237295.CEL;
264704_at;5.56199;5.60109;6.67469;6.92349;6.49977;6.43906;6.15771;6.25286;
264705_at;9.00725;9.06814;9.13858;9.21327;9.09086;9.20619;8.96534;9.02663;
264706_at;3.27274;3.22348;3.19201;3.19331;3.24802;3.56082;3.20795;3.24978;
264707_at;7.76635;7.57034;7.53559;7.5182;7.30254;7.1316;6.9492;7.22728;
264708_at;10.0039;10.03966;9.98348;9.89054;6.74337;6.64521;7.37829;7.24604;
264709_at;8.55637;8.76604;8.81955;8.70127;8.15384;8.39234;8.2968;8.24686;
264710_at;4.80074;4.78681;4.97608;4.78326;4.8153;5.10976;4.97048;4.75181;
264711_at;6.33722;6.23438;6.50452;6.45936;6.34194;6.18066;6.29155;6.50893;
264712_at;6.1681;5.90411;6.20576;6.01708;6.47311;6.40367;6.39512;6.28164;
264713_at;5.24592;5.10385;5.2103;5.15051;5.61922;5.65132;5.8178;5.50737;
264686_at;8.9662;9.14106;8.96852;8.99394;8.16136;8.42657;8.54192;8.422;
264687_at;8.84977;9.02107;8.69055;8.86403;7.80282;7.46545;7.81151;7.92292;
264688_at;5.25867;5.29285;5.31702;5.23513;4.9178;4.80087;4.37506;4.32914;
264689_at;5.91358;5.9117;5.94091;5.87735;8.48344;8.82384;8.43068;8.22727;
264658_at;5.33818;5.67517;5.43908;5.58334;5.64377;6.46935;6.82475;6.49165;
264659_at;3.89289;3.89592;4.49074;4.09651;4.07066;3.72236;3.9696;3.68423;
264660_at;7.45595;7.66756;8.27989;8.2609;7.0371;7.33041;7.77714;7.27999;
264661_at;4.34464;4.02676;5.43113;5.23659;4.10246;4.37872;4.5495;4.02884;
264662_at;7.33098;7.05783;7.26349;7.2113;6.17936;5.97762;6.01563;5.73108;
264663_at;10.69477;10.444;11.1233;10.95011;8.6423;7.97603;8.27052;8.8691;
264664_at;7.28189;7.30174;7.50674;7.57693;7.87214;7.7082;7.62478;7.55118;
264665_at;7.65179;7.67529;7.78622;7.96416;7.77299;7.09612;6.81149;7.40713;
264666_at;5.22122;5.33051;5.24896;5.418;5.49156;5.58875;5.52678;5.5606;
264667_s_at;8.27066;8.4843;8.24935;8.31438;8.3372;8.70216;8.55935;8.37397;
264668_at;10.8788;11.01451;10.7379;11.02528;9.52365;9.70742;9.9175;9.73883;
264669_at;8.79737;8.91709;8.87647;9.0837;7.78611;7.73265;7.26912;7.49481;
264670_s_at;12.13356;12.00685;12.23842;12.1625;12.03294;12.2831;12.23531;12.1078;
264671_at;8.47963;8.67162;8.39678;8.51757;7.53981;7.37381;7.41086;7.46963;
264672_at;7.88644;8.02269;6.82927;6.92889;10.64626;10.60938;10.23243;10.43103;
264673_at;4.66219;5.0121;4.65529;4.81328;7.90621;7.44491;7.64069;7.90731;
264674_at;7.52109;7.75905;7.69837;7.74332;8.59646;8.64766;8.89732;8.50899;
264675_at;7.0096;6.83244;6.96588;6.85535;8.26489;8.19956;7.70509;7.82342;
264676_at;8.48325;8.56803;8.60846;8.45776;7.33068;7.96727;7.98648;7.61833;
264677_at;4.17939;3.79241;4.0036;3.71523;4.68841;4.81158;4.94432;4.48496;
264678_at;7.80407;7.84041;8.09457;8.05582;7.678;7.13972;6.87111;7.3513;
264679_s_at;11.94122;12.04672;12.08078;12.28739;12.30677;12.26085;12.26156;12.15738;
264680_at;7.18368;7.11507;7.17146;7.17996;5.3182;4.93146;5.18151;4.84574;
264681_s_at;2.83969;3.00718;2.92194;3.02826;3.108;3.20393;3.06017;3.22584;
264682_at;5.66582;5.7415;5.68706;5.75621;3.87956;3.97546;4.16386;4.04216;
264683_at;8.61428;8.35882;8.65201;8.50852;7.64625;7.91238;8.19705;8.05939;
264684_at;6.50088;6.03647;6.27441;5.86078;6.74419;7.30091;6.75684;6.7586;
264685_at;7.90665;7.60741;7.39431;7.18383;4.54341;4.8162;5.24953;4.76875;
264626_at;5.50675;5.40138;5.69763;5.57667;6.48351;6.17269;6.04544;6.0937;
264627_at;5.20234;5.10347;4.86031;4.92664;4.8704;4.87572;4.98192;5.1422;
264628_at;5.97961;5.9496;6.01251;6.31277;5.46296;5.9194;6.05418;5.79531;
264629_at;6.44693;5.97728;6.55605;6.11205;5.44928;4.82122;5.21203;5.2992;
264630_at;5.68229;5.57387;5.8582;5.46111;5.57347;5.90054;5.64122;5.61916;
264631_at;2.93031;2.95048;2.92303;2.87204;3.28598;3.10934;3.22694;2.98747;
264632_at;3.38367;3.36622;3.21086;3.26399;3.46953;3.57952;3.28806;3.28889;
264633_at;7.42245;7.59327;7.47392;7.49689;7.81629;8.04679;8.1591;8.22715;
264634_at;3.2055;3.22951;3.08745;3.2923;3.18917;3.1136;3.2071;3.29343;
264635_at;7.17845;7.18417;6.51502;6.6451;5.84395;5.35023;5.08931;5.47395;
264636_at;5.07428;5.59943;4.54481;4.80476;8.44168;7.24106;8.54811;9.42397;
264637_at;6.38527;6.64951;6.37883;6.70281;6.80175;6.79388;6.87666;7.00714;
264638_at;4.30118;4.29664;4.27979;4.31402;4.98977;4.58528;4.6852;4.65633;
264639_at;7.33239;7.46746;7.29655;7.4434;7.77814;7.13675;7.00689;7.39423;
264640_at;5.02821;4.64139;4.90409;4.72592;5.12428;5.33557;5.18363;5.16641;
264641_at;8.36217;8.40955;8.31231;8.56105;9.94677;9.07877;9.27965;9.9365;
264642_at;3.01299;3.16092;3.15356;3.23717;3.44846;3.29969;3.23336;3.40933;
264643_at;7.69401;7.27822;6.78635;6.68242;3.84158;3.91566;4.09287;3.86121;
264644_at;7.6586;7.38657;7.55146;7.5807;6.95715;6.95734;6.64837;6.68871;
264645_at;7.25068;7.37352;7.19335;7.49258;5.3562;5.96467;6.00186;5.58743;
264646_at;4.74791;4.671;4.89799;5.03002;4.7805;4.5302;4.74187;4.67901;
264647_at;7.43949;7.65173;7.65832;7.82438;3.74454;3.59902;3.58974;3.86041;
264648_at;3.1663;3.18426;3.27025;3.14054;3.42908;3.43357;3.63567;3.46122;
264649_at;7.20844;7.30882;7.44705;7.58784;8.3619;8.45625;8.26884;8.39412;
264650_at;8.71831;8.95701;8.70074;8.95888;8.5626;8.07778;7.87514;8.26578;
264651_at;9.55992;9.27767;9.29808;9.1829;8.92402;8.55678;8.35678;8.0531;
264652_at;8.35678;8.29398;9.83531;9.87714;6.28985;6.574;6.61577;6.4346;
264653_at;7.41626;7.31986;7.27524;7.3385;8.55208;8.89102;9.02745;8.75883;
264654_s_at;8.13595;7.60078;7.61302;7.3955;6.47784;6.88027;6.93761;7.01389;
264655_at;9.59323;9.64977;11.77791;11.93855;9.55787;8.83008;9.27678;9.63046;
264656_at;8.77266;8.71903;8.41132;8.50569;8.25557;8.23122;8.14056;8.29174;
264657_at;7.75723;7.95961;7.88662;8.01375;7.12973;7.28588;7.37215;7.35455;
264623_at;5.36292;5.34114;5.52008;5.28691;4.39895;4.33684;4.17556;3.98399;
264624_at;10.45093;10.4095;10.6219;10.66137;8.53209;8.76215;8.86078;8.72759;
264625_at;7.90438;8.04465;7.83047;7.87867;6.96412;6.6084;6.46621;6.63517;
264595_at;10.0629;10.28569;10.10795;10.29616;9.66409;10.12974;10.12338;9.79482;
264596_at;3.34933;3.39468;3.36436;3.37982;3.30471;3.5177;3.36664;3.36492;
264597_at;4.95325;5.04523;5.16234;5.04815;7.4444;7.20146;7.39481;7.7341;
264598_at;7.20517;7.09345;6.64614;6.57606;4.82395;5.0696;4.97275;4.92631;
264599_at;3.44639;3.19909;3.49349;3.28619;3.52148;3.5932;3.34617;3.24189;
264600_at;5.78258;5.77546;5.7444;5.76967;5.94707;6.44198;6.09589;6.0546;
264601_at;4.73264;4.73264;4.81393;4.71346;5.21294;5.14422;5.10937;5.34697;
264602_at;4.77141;4.77944;4.21668;4.48484;4.0264;4.51198;4.51646;4.47428;
264603_at;3.10918;3.09706;3.14084;3.14332;3.16019;3.34077;3.31599;2.9347;
264604_at;4.07451;4.40663;4.19557;4.43244;4.48958;4.44052;4.4365;5.00606;
264605_at;6.5497;6.60509;6.68812;6.67697;7.68306;7.90754;7.80414;7.67636;
264606_at;5.78914;5.55055;5.80545;5.7724;6.71217;6.79408;6.51509;6.46161;
264607_at;10.36634;10.32795;10.32327;10.31301;9.85044;10.05715;10.3185;10.12316;
264608_at;6.55909;6.82983;6.42956;6.81604;8.30477;7.80755;8.23651;8.28766;
264609_at;7.89722;7.93961;7.57136;7.52842;9.68007;9.84182;9.69028;9.56431;
264610_at;3.55087;3.38101;3.54185;3.57824;3.56457;3.53495;3.53257;3.95128;
264611_at;9.30304;9.16956;9.38276;9.15051;8.88621;8.63338;7.90889;8.03725;
264612_at;5.29714;5.46577;5.70877;5.45867;4.96123;4.92931;4.67009;5.04061;
264613_at;6.78426;6.72042;6.87746;6.92201;9.46262;8.97836;9.30783;9.59979;
264614_s_at;5.41223;5.5938;5.39329;5.546;4.98665;5.44914;5.36234;5.44766;
264615_at;6.98868;7.25086;6.82034;7.19619;7.94469;7.66243;7.71199;7.72631;
264616_at;4.00249;3.65189;3.89469;3.74988;3.92378;3.75342;3.85543;3.8942;
264617_at;3.2715;3.11808;6.15943;6.86909;3.23814;3.31358;3.32314;3.43407;
264618_at;3.54426;3.51236;3.44861;3.51041;3.54095;3.52991;3.45657;3.50616;
264619_at;8.3117;8.2644;8.36795;8.25253;7.04034;7.54085;7.47702;7.53233;
264620_at;4.91039;4.75857;4.84037;4.70298;4.24632;4.27531;4.38177;4.39911;
264621_at;5.68503;5.68063;5.47272;5.50402;6.37754;6.60857;6.45526;6.57216;
264622_at;7.53301;7.26428;7.47098;7.2415;6.74543;6.53498;6.49222;6.69904;
264588_at;6.76633;6.92655;6.67296;6.43635;7.26574;7.40605;7.71499;7.54922;
264589_at;5.61277;5.61277;5.63175;5.706;6.03321;6.24723;6.24621;5.94937;
264590_at;9.89508;10.14336;9.5466;9.77938;7.50061;8.03201;7.9811;7.23751;
264591_at;6.8337;7.01908;6.99153;7.13694;8.09743;8.3806;8.90361;8.54241;
264592_at;9.89201;9.83791;9.80947;9.90942;7.30445;7.84743;8.0997;7.62239;
264593_at;7.37313;7.46327;7.45513;7.36493;7.79683;8.41942;8.22431;7.82499;
264594_at;7.45774;7.56707;8.75586;8.76141;7.97379;8.50528;8.52368;8.26774;
264564_at;3.27824;3.26257;3.3742;3.30541;3.35626;3.31978;3.30766;3.55893;
264565_at;5.40561;5.70877;5.88721;5.95863;3.59789;3.86859;3.36349;3.58225;
264566_at;6.85283;6.65171;6.92629;6.93232;7.02089;6.39798;6.29114;7.03367;
264567_s_at;10.86383;10.512;9.12188;8.88681;4.44051;4.61428;4.64183;4.53022;
264568_at;7.68575;7.72323;7.35461;7.54718;8.37871;8.88779;8.71341;8.31472;
264569_at;3.48423;3.45161;3.57742;3.48199;3.30688;3.44858;3.50843;3.44168;
264570_at;7.45519;7.49581;7.49253;7.50363;7.23253;7.65331;7.4226;7.11082;
264571_at;4.09537;3.97853;3.94153;3.9843;3.98179;4.17642;4.03036;4.02297;
264572_at;8.68359;8.81185;8.13013;8.22664;7.64484;8.463;8.17022;7.55528;
264573_at;5.35604;5.43244;5.27028;5.60081;5.90088;5.80602;5.56785;5.81303;
264574_at;5.10445;5.2187;5.01174;4.95092;4.90657;5.16564;5.19226;5.10385;
264575_at;7.41573;7.47166;6.76772;7.14499;11.3121;9.84587;10.43912;10.81085;
264576_at;7.27722;7.51299;7.47912;7.31667;7.00553;7.72167;7.49742;6.99488;
264577_at;10.43032;10.44287;10.2508;10.27539;5.73027;5.21258;5.11201;5.96056;
264578_at;5.27172;5.34231;5.36251;5.31165;5.68471;6.10429;5.61739;5.49143;
264579_at;9.27467;9.45046;9.43966;9.34027;8.2299;7.87419;8.24914;8.1791;
264580_at;7.6026;7.60712;7.53518;7.51963;3.99642;3.45531;4.39958;4.15175;
264581_at;8.34873;8.42013;8.21852;8.38393;6.87986;6.77501;6.71336;6.61302;
264582_at;5.54822;5.11165;5.49406;5.16097;7.74328;8.03686;8.13668;7.81129;
264583_at;6.88287;6.54113;6.50927;6.49606;6.91422;7.1167;7.39742;7.0633;
264584_at;6.55111;6.37759;5.96521;6.20867;9.76096;9.78454;9.93855;9.98274;
264585_at;8.79891;8.80783;8.6792;8.68169;8.01649;8.16546;8.40357;8.39123;
264586_at;6.00273;6.19415;6.01933;6.09928;6.21891;6.63969;6.36786;6.53084;
264587_at;4.80501;4.67129;5.19976;4.85281;6.06337;6.41949;6.02358;6.27036;
264560_at;5.25354;5.31761;5.30824;5.30676;4.15975;4.1653;4.50633;4.31075;
264561_at;8.2112;8.03897;7.52565;7.65543;7.92537;8.19727;7.82382;7.73116;
264562_at;6.34871;6.4152;6.23154;6.28669;5.21573;4.73248;5.51742;5.44305;
264563_s_at;5.63834;5.75856;5.65212;5.59241;5.97393;6.38168;6.2865;6.14836;
264532_at;5.88889;6.15336;5.67445;5.98295;4.47137;4.56488;4.3222;4.6015;
264533_s_at;6.04972;6.26671;5.94538;6.26794;4.51818;4.52101;4.34584;4.45981;
264534_at;4.20797;4.16946;4.23232;4.18637;4.17376;4.34293;4.19118;4.22882;
264535_at;6.36605;6.58119;6.59613;6.39333;7.12619;7.49781;7.12952;6.95434;
264536_at;6.27772;6.19685;5.90407;5.84012;5.81161;5.47655;5.49712;5.4203;
264537_at;4.95325;4.94927;4.89538;5.00721;4.0177;3.9914;4.0738;4.51781;
264538_at;5.14888;5.26387;5.59597;5.51457;5.03903;5.2984;4.99966;5.03351;
264539_at;6.87032;7.02296;6.44372;6.34377;6.924;6.822;6.75822;6.79667;
264540_at;6.51569;6.5577;6.30673;6.34575;6.42014;6.80826;6.54781;6.43871;
264541_at;3.6648;3.72022;3.81023;4.08917;3.66203;3.63457;3.64195;3.48189;
264542_at;5.95196;6.22958;5.7964;5.99366;5.91143;6.32297;6.18057;6.29718;
264543_at;4.65725;4.72568;4.75027;5.19103;3.91024;3.8129;4.3152;4.19125;
264544_s_at;3.50355;3.42001;3.50222;3.49761;3.46345;3.4413;3.53032;3.52833;
264545_at;7.40369;7.71787;6.28046;6.29969;13.05233;12.48582;12.247;12.60309;
264546_at;7.55809;8.16163;7.23389;7.73408;8.22147;8.326;8.10049;8.18737;
264547_at;7.01871;6.78988;7.29801;6.93552;6.93172;7.02858;6.94814;6.76441;
264548_at;8.82282;8.66491;8.757;8.41603;8.6836;8.31082;8.5034;8.74746;
264549_at;4.80611;5.0196;4.63414;4.95881;6.58158;7.28847;7.06207;6.76949;
264550_at;5.08042;5.22313;5.0894;5.2298;5.41674;5.20169;4.88507;4.73317;
264551_at;8.29088;7.81127;8.11836;7.64939;5.20668;4.92956;4.63836;5.45323;
264552_at;5.42064;5.42104;5.19351;5.64801;6.00347;6.20751;5.72058;5.8823;
264553_s_at;5.28748;5.52813;5.04271;5.47756;6.61597;6.74441;6.48357;6.46271;
264554_at;4.03958;4.15868;4.28561;4.13048;4.19688;3.95094;3.95572;4.13149;
264555_at;4.01912;3.91711;4.14525;4.0556;3.80001;3.91527;3.8521;4.10229;
264556_at;6.26242;6.44683;5.95962;6.08331;4.73587;5.20734;4.66997;4.625;
264557_at;5.20427;4.95828;4.93519;4.86758;5.04173;5.07743;5.32254;4.78984;
264558_at;4.43478;4.3982;4.43087;4.5078;4.65446;4.84027;4.52362;4.72146;
264559_at;4.10442;4.18097;3.93832;4.10442;3.97141;3.94261;3.9872;3.7552;
264500_at;3.235;3.29253;3.28348;3.37911;3.25618;3.24657;3.18475;3.15269;
264501_at;6.68479;6.91563;6.50349;6.56305;6.97678;6.42094;6.0337;6.22974;
264502_at;4.16772;4.34869;4.25128;4.25065;4.20197;3.96292;4.41402;4.09826;
264503_at;3.6686;3.78768;3.70845;3.82059;3.60747;3.89718;3.70803;3.76393;
264504_at;9.29129;8.94045;8.86283;8.8021;8.50033;8.17059;8.25661;8.30083;
264505_at;5.49569;5.4452;5.32274;5.51184;4.61799;5.03748;5.00687;4.61288;
264506_at;11.16792;11.15002;10.94674;10.84281;8.33304;7.69863;7.63773;8.17892;
264507_at;5.04004;5.28184;5.07997;5.16325;6.80022;7.36062;7.70051;7.14041;
264508_at;8.88039;8.96513;8.71134;8.73021;9.22153;9.94499;9.82492;9.31582;
264509_at;7.04572;7.00713;6.96617;6.81357;6.68082;5.91208;6.3859;6.34807;
264510_at;5.07931;5.34971;5.52937;5.4192;7.99104;7.99829;7.94935;8.07124;
264511_at;5.59156;5.56989;5.48549;5.20494;5.81537;5.93443;5.69498;5.7566;
264512_at;5.50266;5.30404;6.68165;6.49606;6.03459;5.83641;5.64545;5.35144;
264513_at;8.20244;8.24577;7.98907;8.12791;8.57091;8.49679;8.74247;8.98336;
264514_at;3.32602;3.30341;3.25133;3.35771;3.19246;3.24006;3.94495;3.77897;
264515_at;7.85204;7.88001;7.96419;7.95184;7.16155;7.56584;7.73799;7.62924;
264516_at;6.92847;6.17028;7.30175;6.22;5.82443;6.42386;6.35583;6.08883;
264517_at;7.1017;6.98682;6.99473;6.75906;6.58276;6.87152;6.46995;6.45581;
264518_at;4.06554;3.53057;3.8295;3.59179;4.31862;4.17859;4.00234;4.26057;
264519_at;4.22162;4.25861;4.11059;4.28298;4.22715;4.27087;4.15785;4.346;
264520_at;4.81773;4.87464;4.93753;4.79406;4.43771;4.82436;4.81259;4.91125;
264521_at;7.16159;7.09589;6.65268;6.64753;7.92812;7.46746;7.18977;7.32206;
264522_at;7.1674;7.23638;7.01873;7.25771;5.99757;5.94634;6.52281;6.05445;
264523_at;9.23454;9.31384;9.041;9.09242;8.0892;8.3415;7.98929;7.76598;
264524_at;7.13084;7.14933;6.36506;6.14771;5.52131;5.83644;5.23526;5.52555;
264525_at;4.18533;3.94646;4.10085;3.74827;6.06398;5.9335;5.53281;5.56711;
264526_at;8.25967;8.16231;8.44397;8.18333;7.26391;6.96354;6.86479;7.12439;
264527_at;6.29084;6.18645;6.67008;6.69305;4.6029;3.86055;4.12521;3.78448;
264528_at;5.98209;5.84591;6.18455;6.54313;6.24567;6.44208;6.69675;6.37499;
264529_at;9.32836;9.40103;9.15557;8.96806;8.91074;9.12621;8.54485;8.35023;
264530_at;4.39364;4.28856;4.28095;4.4075;4.1629;4.50969;4.29098;4.20424;
264531_at;3.92456;3.89589;3.8594;3.855;3.87943;3.93652;4.01856;3.84558;
264497_at;6.90245;7.17313;6.13721;6.51145;4.31306;4.56683;3.71068;4.32899;
264498_at;7.13347;7.07546;6.88647;7.05817;7.46557;7.47177;7.19267;6.87197;
264499_at;3.44127;3.34372;3.69374;3.56984;3.64116;3.35817;3.46167;3.5102;
264469_at;4.3094;4.44882;4.5081;4.39801;4.56162;4.61428;4.45141;4.8742;
264470_at;7.07903;7.25313;7.20748;7.47638;4.59794;4.63136;4.12221;4.16211;
264471_at;5.6223;5.63353;5.96119;6.15661;6.97861;7.38187;7.19771;6.92405;
264472_at;7.28467;7.37162;7.33932;7.43481;7.41447;7.78406;7.6002;7.46571;
264473_at;4.72816;4.75617;4.80537;4.6891;5.38054;5.34666;5.04701;4.73675;
264474_s_at;10.67134;10.87303;8.8221;9.14713;13.8526;13.7046;13.8025;13.85308;
264475_s_at;4.36515;4.67919;4.53662;4.70262;5.17416;5.98654;6.00235;5.37919;
264476_at;8.01358;8.18311;7.44595;7.9472;6.24925;6.20263;6.29923;6.38344;
264477_at;4.06475;4.07129;4.0287;4.1286;3.53135;3.88859;3.69407;3.59629;
264478_at;3.64722;3.56252;3.68117;3.64073;4.07433;4.37482;3.96009;3.83113;
264479_at;7.17571;7.19345;6.78514;6.80076;5.96215;6.42362;6.84111;6.60517;
264480_at;6.60776;5.92956;6.60238;6.12684;6.37271;6.48193;5.91243;6.54928;
264481_at;5.0273;5.06857;4.92433;4.99953;4.80295;4.90041;5.04858;4.95452;
264482_at;5.42597;5.23397;5.61596;5.20809;7.14865;7.3453;7.08809;7.22609;
264483_at;5.43721;5.17212;5.38292;5.3545;5.75083;5.70978;5.05169;5.42457;
264484_at;8.1769;8.13417;7.98024;8.12501;8.31037;8.36834;8.33945;8.67369;
264485_at;6.59689;6.48924;6.4461;6.56542;6.51394;6.43422;6.21097;6.2608;
264486_at;9.43563;9.43861;9.43764;9.49609;9.30275;9.381;9.28872;9.2588;
264487_at;7.46541;7.32758;7.36594;7.33039;6.67615;6.66849;6.71498;6.47572;
264488_s_at;9.48054;9.42597;9.79813;9.47479;8.53515;7.84525;7.97116;8.44108;
264489_at;5.40571;5.91531;5.36559;5.38922;6.49512;6.51511;6.61415;6.28913;
264490_at;7.93943;7.8796;8.45641;8.19181;7.30963;6.50967;6.26147;7.14397;
264491_at;5.64455;5.40221;5.35517;5.47626;6.36085;6.36629;6.12853;6.49597;
264492_at;7.29319;7.07604;6.80154;6.90096;6.88809;6.69277;6.61993;6.89022;
264493_at;7.08118;7.14754;6.94835;6.83196;6.45557;6.00695;6.2862;6.15686;
264494_at;3.96264;3.88125;4.21815;3.86987;4.13518;3.91786;4.01105;3.9588;
264495_at;5.57174;5.54094;4.5313;5.03925;3.87173;3.57474;3.95863;3.70922;
264496_at;3.93731;3.7103;3.85818;3.77856;3.571;3.87713;3.76965;3.72544;
264437_at;6.74979;6.60692;6.11247;6.54294;8.16099;7.729;7.45053;8.07003;
264438_at;11.50908;11.25473;11.66812;11.43231;11.28266;10.69952;10.52292;10.92907;
264439_at;10.35537;10.32541;10.42065;10.3205;9.79312;9.52376;9.53495;9.66553;
264440_at;8.61895;8.74127;8.51906;8.59947;8.47921;8.34928;8.46691;8.41973;
264441_at;8.91941;9.02186;8.71666;8.99537;9.23099;9.67202;9.73938;9.51878;
264442_at;3.72719;3.52895;3.52453;3.72287;8.13531;7.27209;7.65165;8.00156;
264443_at;6.76233;7.03187;6.9636;7.19238;8.67484;7.90635;8.17089;8.52797;
264444_at;5.00626;5.22391;4.73687;4.69637;5.23269;5.16441;5.14164;5.32511;
264445_at;10.76257;10.4764;10.13643;10.13602;9.41343;9.22957;9.21968;9.05208;
264446_at;10.09902;10.14085;10.28187;10.04233;9.15203;8.07181;8.46292;8.72015;
264447_at;8.06034;7.99725;8.18981;7.96504;7.7606;7.9016;8.09157;7.74825;
264448_at;8.40856;8.25225;8.2099;8.1415;8.54116;8.46924;8.41425;8.60987;
264449_at;6.11714;6.14548;6.20811;6.28069;7.61946;7.78607;7.25784;7.12246;
264450_s_at;6.1507;5.83946;5.81474;5.82648;5.84479;5.82191;5.19188;5.75246;
264451_s_at;3.20773;3.1542;3.29396;3.24175;3.21201;3.32822;3.21241;3.23786;
264452_at;6.20921;6.68273;6.8283;6.70455;7.57338;7.64678;7.42088;7.39732;
264453_at;3.86661;3.94638;4.11173;4.14304;3.95142;4.07895;4.1176;4.1174;
264454_at;5.1751;5.17444;4.8956;5.09884;5.63698;6.04074;5.89747;5.8084;
264455_at;5.2402;5.38562;5.40522;5.44532;5.36966;5.52749;5.61339;5.28069;
264456_at;8.09437;7.68437;7.71961;7.73344;7.94417;7.51398;7.03556;7.68213;
264457_at;4.85613;4.97955;4.98547;5.27733;3.95834;4.2763;4.07173;4.0192;
264458_at;8.73462;8.65551;8.30871;8.46995;6.43784;7.14844;7.2764;7.00125;
264459_at;3.6573;3.79396;3.70742;3.9278;3.75822;3.83468;3.59174;3.77867;
264460_at;7.75784;7.98607;8.17078;8.02269;7.82012;8.40171;8.43732;8.40115;
264461_s_at;2.8938;2.96287;3.00215;2.96093;2.99478;3.30466;2.9552;3.25084;
264462_at;9.69982;9.79144;9.27438;9.38793;8.5294;8.73449;8.90364;8.7385;
264463_at;7.1688;7.13947;6.53451;6.85274;8.38046;8.9903;8.87255;8.627;
264464_at;7.38875;7.44032;7.189;7.30864;7.39976;7.73038;7.9083;7.54708;
264465_at;6.90525;6.83047;6.97114;7.1414;7.13031;6.73703;6.54542;6.74693;
264466_at;8.3935;8.43757;8.12719;8.0289;6.80871;6.71678;6.47589;6.77625;
264467_at;8.36432;8.403;8.40943;8.46434;5.75509;5.64736;5.37917;5.37041;
264468_at;7.02348;6.94346;6.71146;7.02458;8.37404;8.8774;9.08665;8.51195;
264434_at;7.62951;7.66833;7.95139;8.11696;4.59458;5.27453;5.89942;5.85899;
264435_at;6.77037;6.82145;5.95632;6.20937;8.81644;8.93242;9.06754;9.05732;
264436_at;7.29243;7.20659;6.46354;6.71696;9.77264;7.92241;8.31836;9.31633;
264405_at;6.92443;7.14435;6.18704;6.32135;5.77979;5.86972;5.6777;5.86374;
264406_at;8.00262;7.78808;7.97681;7.79708;7.3613;7.56536;7.3695;7.18447;
264407_at;7.73503;8.09547;7.85863;7.9766;8.04184;8.48944;8.16612;7.92833;
264408_at;6.29938;6.48356;6.55878;6.58553;7.08182;7.06614;6.74898;6.89708;
264409_s_at;3.68003;3.4476;3.73702;3.53792;3.8376;3.64777;3.95225;3.97142;
264410_s_at;3.81546;3.95856;3.88705;3.91089;3.85372;3.90239;3.65108;3.81398;
264411_at;4.67102;4.51037;4.71746;4.73713;4.71143;4.86782;4.84909;4.68069;
264412_at;3.19567;3.11055;3.165;3.17979;3.10897;3.39062;3.18088;3.04614;
264413_s_at;5.45335;5.39366;5.40322;5.24795;5.6438;5.7788;5.71272;5.8823;
264414_s_at;4.00823;3.75282;3.77465;3.91786;3.87831;3.98966;4.15109;4.18869;
264415_at;6.9592;7.09735;5.81724;6.10995;4.05503;4.04645;3.81421;4.16699;
264416_at;3.20776;3.00054;3.06631;3.02699;3.24614;2.80739;3.16168;3.0071;
264417_at;4.9547;4.81173;5.2915;4.89497;4.86345;4.83377;4.88043;5.27321;
264418_at;8.81982;8.51825;8.89559;8.39202;9.3535;9.17746;8.78636;8.97717;
264419_s_at;10.33575;9.97638;10.38882;10.15569;10.12341;9.22188;8.90351;9.72181;
264420_at;3.57442;3.80805;3.80254;3.71273;3.74011;3.93129;3.91676;3.93786;
264421_at;12.33408;12.01201;12.19558;12.21953;12.16542;12.52742;12.43261;12.16323;
264422_at;9.17739;9.31806;9.25627;9.20997;7.83287;7.14034;7.33238;7.99666;
264423_at;6.87435;6.81828;6.65667;6.51958;5.90476;6.0756;6.20001;5.7384;
264424_at;8.84053;8.57609;8.03897;7.80873;8.50896;8.42432;8.37074;8.60375;
264425_at;4.49746;4.48432;3.86293;3.89747;3.34504;3.70316;3.59512;3.51085;
264426_at;3.79223;3.86413;3.86256;3.96425;3.74394;3.68088;3.7552;3.64798;
264427_at;9.83973;9.81982;9.85984;9.63545;8.52002;7.95708;7.71084;8.14024;
264428_at;11.54493;11.11742;11.16782;11.17853;10.8279;10.30162;10.42871;10.28259;
264429_at;7.50557;7.31901;7.31026;7.45884;6.6642;7.02625;6.83198;6.72306;
264430_at;3.89164;3.75113;3.95612;3.87649;3.76033;4.09952;3.87329;3.91821;
264431_at;4.0107;4.05067;3.96577;4.07672;4.13112;4.0919;4.05902;4.02585;
264432_at;3.61397;3.67591;3.57544;3.54763;3.4733;3.60371;3.60791;3.64667;
264433_at;6.47117;6.73383;4.78064;4.76005;6.05567;6.15861;5.46167;4.83455;
264398_at;7.95016;7.74716;7.69463;8.06429;7.55668;7.83767;7.58436;7.73436;
264399_at;8.39411;8.50784;8.15969;8.45477;8.63252;8.43776;8.29382;8.49041;
264400_at;3.87987;3.94084;3.97892;3.68929;4.59599;4.09134;4.94789;5.20892;
264401_at;4.87877;4.72882;5.00703;4.71803;3.98583;4.04226;4.26572;4.24763;
264402_at;6.57784;6.54885;6.94867;6.78929;6.57094;6.69418;6.91296;6.83742;
264403_at;5.6764;6.13749;4.96937;4.8752;3.58617;3.35722;3.6002;3.41094;
264404_at;8.85714;8.93961;8.40943;8.23791;4.65518;4.65338;4.47198;4.29589;
