"date","fondo 1","fondo 2","fondo 3","fondo 4","fondo 5","fondo 6","fondo 7","fondo 8","fondo 9","fondo 10","fondo 11","fondo 12","fondo 13","fondo 14","fondo 15","fondo 16","fondo 17","fondo 18","fondo 19","fondo 20","fondo 21","fondo 22","fondo 23","fondo 24","fondo 25","fondo 26","fondo 27","fondo 28","fondo 29","fondo 30","fondo 31"
2015-04-17,1.24262602091245,1.45049773755656,1.28382141142583,1.2837199753644,1.52160681679854,1.52163991785198,1.35108533263028,1.24205187199331,1.21387774004322,1.35510862442663,1.45048183504502,1.38378297511594,1.3656622098051,1.36580845853465,1.45863063610141,1.37017282937587,1.36989690721649,1.38228202535584,1.31301145662848,1.21334844327806,1.24400460781234,1.44000181537624,1.34216239687364,1.82876167759889,1.3482901759241,1.34885826375616,1.4477,1.4484,1.52363549694129,1.38227678143282,1.38171233564188
2015-04-18,1.24262602091245,1.45049773755656,1.28382141142583,1.2837199753644,1.52160681679854,1.52163991785198,1.35108533263028,1.24205187199331,1.21387774004322,1.35510862442663,1.45048183504502,1.38378297511594,1.3656622098051,1.36580845853465,1.45863063610141,1.37017282937587,1.36989690721649,1.38228202535584,1.31301145662848,1.21334844327806,1.24400460781234,1.44000181537624,1.34216239687364,1.82876167759889,1.3482901759241,1.34885826375616,1.4477,1.4484,1.52363549694129,1.38227678143282,1.38171233564188
2015-04-19,1.24262602091245,1.45049773755656,1.28382141142583,1.2837199753644,1.52160681679854,1.52163991785198,1.35108533263028,1.24205187199331,1.21387774004322,1.35510862442663,1.45048183504502,1.38378297511594,1.3656622098051,1.36580845853465,1.45863063610141,1.37017282937587,1.36989690721649,1.38228202535584,1.31301145662848,1.21334844327806,1.24400460781234,1.44000181537624,1.34216239687364,1.82876167759889,1.3482901759241,1.34885826375616,1.4477,1.4484,1.52363549694129,1.38227678143282,1.38171233564188
2015-04-20,1.25318628726005,1.46660633484163,1.26893903024484,1.26881543830836,1.51666159464394,1.51669582414239,1.35152473855348,1.25261451579168,1.22638159925903,1.34648923836887,1.4666334886667,1.39450456290829,1.3661278520588,1.36620557283738,1.46432366783058,1.37848094774091,1.37814432989691,1.39254880609785,1.31526186579378,1.22593343671717,1.2546863545921,1.45520559135881,1.32665467402767,1.78225004969191,1.33959280490215,1.34020722261342,1.4638,1.4644,1.51870977993168,1.39320993574374,1.39255244404296
2015-04-21,1.25949037961518,1.45740757398579,1.27802260969534,1.2780349899619,1.53604730498067,1.53607700469911,1.34787942516649,1.25889916888819,1.23164801235044,1.35397207994376,1.45739083509466,1.39319423745653,1.3619066560594,1.36207124010554,1.45405569466576,1.37690186868171,1.37668069383147,1.39144583914458,1.31330340746786,1.23106286532268,1.26201696512724,1.45429790324045,1.33906085230445,1.82945889801167,1.34897939059264,1.35268081681923,1.46004190362167,1.464,1.54381504727099,1.39374222562434,1.39646692763224
2015-04-22,1.24289087362694,1.46044679231768,1.26986092589065,1.26978695669885,1.55765855147676,1.55768350373875,1.34419337887546,1.24228665772366,1.21252472987369,1.36523182138188,1.46047448522829,1.39048230241398,1.35755448102272,1.35774072365386,1.44572431154169,1.36724678741273,1.36692769246415,1.3889444914928,1.31402345741968,1.2123706491063,1.24408513276165,1.4481070642655,1.33525224388734,1.86115243479123,1.35717804709824,1.35756542665196,1.45760364104086,1.45815195884448,1.56009883628248,1.38925282445647,1.38857426726279
2015-04-23,1.24464737140793,1.46004407069299,1.27021072796935,1.27015402261183,1.53871162861031,1.53874064555144,1.33824302998422,1.24404916247472,1.21180342927128,1.37341099012408,1.46002697841727,1.39038652130823,1.35125281718149,1.35149396477805,1.43381180223285,1.37058883351978,1.3703362976592,1.38897905556844,1.30805396565822,1.21162831963092,1.24587184546682,1.4493276780074,1.33190564866543,1.8603974307507,1.36554871998412,1.36594971220842,1.45716557344464,1.45771638676339,1.5411829740188,1.38907947398513,1.38845118180912
2015-04-24,1.24401151434152,1.45116863308062,1.28280607856255,1.2826780021254,1.5422503045067,1.5423961029076,1.33181499649615,1.2434122145293,1.214770733196,1.37225649843228,1.4511527765318,1.38554753190227,1.3453642384106,1.34547970479705,1.4290053151101,1.36358093689666,1.36329281993668,1.38360074051219,1.30007149422939,1.21464363614927,1.24521469218831,1.43996218090136,1.3462492250465,1.84557646116894,1.36394254581476,1.36455287831435,1.44829979181124,1.44899375433727,1.54464498688081,1.38428612194426,1.38377302140368
2015-04-25,1.25315865782933,1.46490354134589,1.28871819491119,1.28852391706015,1.53523795089421,1.53526782331995,1.33286578416762,1.25253734450632,1.2293082149475,1.38947206718214,1.46488566900611,1.39583437141861,1.34652349705044,1.34663325199499,1.41706196822528,1.37920756462305,1.37892561983471,1.39424795958026,1.30153374233129,1.22913559625365,1.2543644796498,1.45364057812926,1.35540852630922,1.87427584104076,1.38256853097701,1.38309830369916,1.46221599439496,1.46277021617294,1.53755441234666,1.3943661971831,1.39390292819896
2015-04-26,1.25315865782933,1.46490354134589,1.28871819491119,1.28852391706015,1.53523795089421,1.53526782331995,1.33286578416762,1.25253734450632,1.2293082149475,1.38947206718214,1.46488566900611,1.39583437141861,1.34652349705044,1.34663325199499,1.41706196822528,1.37920756462305,1.37892561983471,1.39424795958026,1.30153374233129,1.22913559625365,1.2543644796498,1.45364057812926,1.35540852630922,1.87427584104076,1.38256853097701,1.38309830369916,1.46221599439496,1.46277021617294,1.53755441234666,1.3943661971831,1.39390292819896
